id;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jenis_bencana;jumlah_kejadian;satuan;tahun
117;JAWA BARAT;3215;KABUPATEN KARAWANG;KEKERINGAN;0;KEJADIAN;2022
118;JAWA BARAT;3215;KABUPATEN KARAWANG;KEBAKARAN HUTAN;0;KEJADIAN;2022
119;JAWA BARAT;3215;KABUPATEN KARAWANG;GEMPA BUMI;0;KEJADIAN;2022
120;JAWA BARAT;3215;KABUPATEN KARAWANG;TSUNAMI;0;KEJADIAN;2022
121;JAWA BARAT;3216;KABUPATEN BEKASI;BANJIR;2;KEJADIAN;2022
122;JAWA BARAT;3216;KABUPATEN BEKASI;TANAH LONGSOR;1;KEJADIAN;2022
123;JAWA BARAT;3216;KABUPATEN BEKASI;ABRASI;0;KEJADIAN;2022
124;JAWA BARAT;3216;KABUPATEN BEKASI;NGIN PUTING BELIUNG;3;KEJADIAN;2022
125;JAWA BARAT;3216;KABUPATEN BEKASI;KEKERINGAN;0;KEJADIAN;2022
126;JAWA BARAT;3216;KABUPATEN BEKASI;KEBAKARAN HUTAN;0;KEJADIAN;2022
127;JAWA BARAT;3216;KABUPATEN BEKASI;GEMPA BUMI;0;KEJADIAN;2022
128;JAWA BARAT;3216;KABUPATEN BEKASI;TSUNAMI;0;KEJADIAN;2022
129;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;BANJIR;3;KEJADIAN;2022
130;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;TANAH LONGSOR;23;KEJADIAN;2022
131;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;ABRASI;0;KEJADIAN;2022
132;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;NGIN PUTING BELIUNG;13;KEJADIAN;2022
133;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;KEKERINGAN;0;KEJADIAN;2022
134;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;KEBAKARAN HUTAN;0;KEJADIAN;2022
135;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;GEMPA BUMI;0;KEJADIAN;2022
136;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;TSUNAMI;0;KEJADIAN;2022
137;JAWA BARAT;3218;KABUPATEN PANGANDARAN;BANJIR;0;KEJADIAN;2022
138;JAWA BARAT;3218;KABUPATEN PANGANDARAN;TANAH LONGSOR;0;KEJADIAN;2022
139;JAWA BARAT;3218;KABUPATEN PANGANDARAN;ABRASI;0;KEJADIAN;2022
140;JAWA BARAT;3218;KABUPATEN PANGANDARAN;NGIN PUTING BELIUNG;2;KEJADIAN;2022
141;JAWA BARAT;3218;KABUPATEN PANGANDARAN;KEKERINGAN;0;KEJADIAN;2022
142;JAWA BARAT;3218;KABUPATEN PANGANDARAN;KEBAKARAN HUTAN;0;KEJADIAN;2022
143;JAWA BARAT;3218;KABUPATEN PANGANDARAN;GEMPA BUMI;5;KEJADIAN;2022
144;JAWA BARAT;3218;KABUPATEN PANGANDARAN;TSUNAMI;0;KEJADIAN;2022
145;JAWA BARAT;3271;KOTA BOGOR;BANJIR;3;KEJADIAN;2022
146;JAWA BARAT;3271;KOTA BOGOR;TANAH LONGSOR;8;KEJADIAN;2022
147;JAWA BARAT;3271;KOTA BOGOR;ABRASI;0;KEJADIAN;2022
148;JAWA BARAT;3271;KOTA BOGOR;NGIN PUTING BELIUNG;5;KEJADIAN;2022
149;JAWA BARAT;3271;KOTA BOGOR;KEKERINGAN;0;KEJADIAN;2022
150;JAWA BARAT;3271;KOTA BOGOR;KEBAKARAN HUTAN;0;KEJADIAN;2022
151;JAWA BARAT;3271;KOTA BOGOR;GEMPA BUMI;0;KEJADIAN;2022
152;JAWA BARAT;3271;KOTA BOGOR;TSUNAMI;0;KEJADIAN;2022
153;JAWA BARAT;3272;KOTA SUKABUMI;BANJIR;1;KEJADIAN;2022
154;JAWA BARAT;3272;KOTA SUKABUMI;TANAH LONGSOR;3;KEJADIAN;2022
155;JAWA BARAT;3272;KOTA SUKABUMI;ABRASI;0;KEJADIAN;2022
156;JAWA BARAT;3272;KOTA SUKABUMI;NGIN PUTING BELIUNG;3;KEJADIAN;2022
157;JAWA BARAT;3272;KOTA SUKABUMI;KEKERINGAN;0;KEJADIAN;2022
158;JAWA BARAT;3272;KOTA SUKABUMI;KEBAKARAN HUTAN;0;KEJADIAN;2022
159;JAWA BARAT;3272;KOTA SUKABUMI;GEMPA BUMI;2;KEJADIAN;2022
160;JAWA BARAT;3272;KOTA SUKABUMI;TSUNAMI;0;KEJADIAN;2022
161;JAWA BARAT;3273;KOTA BANDUNG;BANJIR;0;KEJADIAN;2022
162;JAWA BARAT;3273;KOTA BANDUNG;TANAH LONGSOR;0;KEJADIAN;2022
163;JAWA BARAT;3273;KOTA BANDUNG;ABRASI;0;KEJADIAN;2022
164;JAWA BARAT;3273;KOTA BANDUNG;NGIN PUTING BELIUNG;1;KEJADIAN;2022
165;JAWA BARAT;3273;KOTA BANDUNG;KEKERINGAN;0;KEJADIAN;2022
166;JAWA BARAT;3273;KOTA BANDUNG;KEBAKARAN HUTAN;0;KEJADIAN;2022
167;JAWA BARAT;3273;KOTA BANDUNG;GEMPA BUMI;0;KEJADIAN;2022
168;JAWA BARAT;3273;KOTA BANDUNG;TSUNAMI;0;KEJADIAN;2022
169;JAWA BARAT;3274;KOTA CIREBON;BANJIR;6;KEJADIAN;2022
170;JAWA BARAT;3274;KOTA CIREBON;TANAH LONGSOR;0;KEJADIAN;2022
171;JAWA BARAT;3274;KOTA CIREBON;ABRASI;0;KEJADIAN;2022
172;JAWA BARAT;3274;KOTA CIREBON;NGIN PUTING BELIUNG;3;KEJADIAN;2022
173;JAWA BARAT;3274;KOTA CIREBON;KEKERINGAN;0;KEJADIAN;2022
174;JAWA BARAT;3274;KOTA CIREBON;KEBAKARAN HUTAN;0;KEJADIAN;2022
175;JAWA BARAT;3274;KOTA CIREBON;GEMPA BUMI;0;KEJADIAN;2022
176;JAWA BARAT;3274;KOTA CIREBON;TSUNAMI;0;KEJADIAN;2022
177;JAWA BARAT;3275;KOTA BEKASI;BANJIR;4;KEJADIAN;2022
178;JAWA BARAT;3275;KOTA BEKASI;TANAH LONGSOR;0;KEJADIAN;2022
179;JAWA BARAT;3275;KOTA BEKASI;ABRASI;0;KEJADIAN;2022
180;JAWA BARAT;3275;KOTA BEKASI;NGIN PUTING BELIUNG;2;KEJADIAN;2022
181;JAWA BARAT;3275;KOTA BEKASI;KEKERINGAN;0;KEJADIAN;2022
182;JAWA BARAT;3275;KOTA BEKASI;KEBAKARAN HUTAN;0;KEJADIAN;2022
183;JAWA BARAT;3275;KOTA BEKASI;GEMPA BUMI;0;KEJADIAN;2022
184;JAWA BARAT;3275;KOTA BEKASI;TSUNAMI;0;KEJADIAN;2022
185;JAWA BARAT;3276;KOTA DEPOK;BANJIR;3;KEJADIAN;2022
186;JAWA BARAT;3276;KOTA DEPOK;TANAH LONGSOR;1;KEJADIAN;2022
187;JAWA BARAT;3276;KOTA DEPOK;ABRASI;0;KEJADIAN;2022
188;JAWA BARAT;3276;KOTA DEPOK;NGIN PUTING BELIUNG;5;KEJADIAN;2022
189;JAWA BARAT;3276;KOTA DEPOK;KEKERINGAN;0;KEJADIAN;2022
190;JAWA BARAT;3276;KOTA DEPOK;KEBAKARAN HUTAN;0;KEJADIAN;2022
191;JAWA BARAT;3276;KOTA DEPOK;GEMPA BUMI;0;KEJADIAN;2022
192;JAWA BARAT;3276;KOTA DEPOK;TSUNAMI;0;KEJADIAN;2022
193;JAWA BARAT;3277;KOTA CIMAHI;BANJIR;6;KEJADIAN;2022
194;JAWA BARAT;3277;KOTA CIMAHI;TANAH LONGSOR;3;KEJADIAN;2022
195;JAWA BARAT;3277;KOTA CIMAHI;ABRASI;0;KEJADIAN;2022
